#events with |diff| <= 500:  2223 / 3411 (65.17%)

#events with |diff| > 500 :  1188 / 3411 (34.83%)
Event 77: PdsEventNew(muon_time=128, michel_time=388, muon_intensity=39.5096, michel_intensity=2.1974, posX=137.457, posY=230.794, posZ=136.431, energy=49.8338, lifetime=0.210676, pdg=11, eventID=14241, trackID=1, date=20250828, reco_lifetime=4160, true_lifetime=210.67600000000002, diff_lifetime=3949.324)

Event 78: PdsEventNew(muon_time=129, michel_time=266, muon_intensity=72.7638, michel_intensity=1.7566, posX=83.0306, posY=396.974, posZ=262.985, energy=-1.0, lifetime=-1.0, pdg=0, eventID=14253, trackID=11, date=20250828, reco_lifetime=2192, true_lifetime=-1000.0, diff_lifetime=3192.0)
Event 79: PdsEventNew(muon_time=128, michel_time=195, muon_intensity=62.2224, michel_intensity=1.59518, posX=142.572, posY=76.4059, posZ=32.2993, energy=-1.0, lifetime=-1.0, pdg=0, eventID=14253, trackID=6, date=20250828, reco_lifetime=1072, true_lifetime=-1000.0, diff_lifetime=2072.0)


Event 80: PdsEventNew(muon_time=126, michel_time=290, muon_intensity=11.135, michel_intensity=1.04676, posX=38.1905, posY=272.71, posZ=66.2833, energy=-1.0, lifetime=-1.0, pdg=0, eventID=14283, trackID=15, date=20250828, reco_lifetime=2624, true_lifetime=-1000.0, diff_lifetime=3624.0)


Event 81: PdsEventNew(muon_time=126, michel_time=172, muon_intensity=7.59699, michel_intensity=1.09778, posX=-84.5752, posY=198.208, posZ=350.927, energy=48.3321, lifetime=1.37906, pdg=-11, eventID=14313, trackID=3, date=20250828, reco_lifetime=736, true_lifetime=1379.06, diff_lifetime=-643.06)




Event 82: PdsEventNew(muon_time=129, michel_time=217, muon_intensity=73.2402, michel_intensity=1.35986, posX=-259.361, posY=103.258, posZ=407.757, energy=-1.0, lifetime=-1.0, pdg=0, eventID=14597, trackID=1, date=20250828, reco_lifetime=1408, true_lifetime=-1000.0, diff_lifetime=2408.0)


Event 83: PdsEventNew(muon_time=126, michel_time=190, muon_intensity=11.3609, michel_intensity=1.84238, posX=70.4368, posY=282.318, posZ=82.9078, energy=33.4928, lifetime=0.329983, pdg=11, eventID=14722, trackID=17, date=20250828, reco_lifetime=1024, true_lifetime=329.983, diff_lifetime=694.017)

Event 84: PdsEventNew(muon_time=126, michel_time=327, muon_intensity=13.1593, michel_intensity=0.961484, posX=65.6502, posY=171.412, posZ=62.5513, energy=41.1662, lifetime=0.242718, pdg=-11, eventID=14805, trackID=10, date=20250828, reco_lifetime=3216, true_lifetime=242.718, diff_lifetime=2973.282)


Event 85: PdsEventNew(muon_time=125, michel_time=251, muon_intensity=7.47695, michel_intensity=1.5661, posX=33.7235, posY=218.262, posZ=78.6423, energy=-1.0, lifetime=-1.0, pdg=0, eventID=1482, trackID=5, date=20250828, reco_lifetime=2016, true_lifetime=-1000.0, diff_lifetime=3016.0)


