Run Event TrackID EndX EndY EndZ
28891 123528 7 -25.7252 155.874 106.631
28891 123664 13 -27.5792 46.4277 281.626
28891 123688 0 308.65 482.396 325.597
28891 80565 4 164.939 138.758 146.646
28891 303821 24 -15.177 393.382 279.48
28891 334675 15 -29.1541 278.033 61.8868
28891 334731 1 -72.9003 156.829 427.964
28891 202899 28 303.623 100.818 272.327
28891 202971 4 -96.2542 39.1423 352.917
28891 202971 8 65.1688 158.072 36.8137
28891 203059 5 -203.136 259.58 362.816
28891 182620 5 147.477 130.226 334.76
28891 182676 21 22.9073 433.411 421.861
28891 133802 6 68.9846 371.782 418.757
28891 133834 10 -73.7595 326.047 310.994
28891 218508 11 -75.57 167.174 389.007
28891 218540 8 -79.0388 121.604 197.751
28891 218580 13 333.098 167.164 312.378
28891 218612 0 222.317 153.929 251.58
28891 218716 38 7.94663 258.764 153.302
28891 100948 16 -30.3389 51.2943 137.642
28891 101004 8 -64.3801 188.954 320.347
28891 101012 12 -30.8157 238.972 123.907
28891 101020 3 -215.319 279.262 380.536
28891 101132 11 92.4913 338.774 284.057
28891 356120 8 -31.7207 422.554 392.489
28891 117347 0 -96.1923 101.269 394.831
28891 117355 7 -108.205 102.861 230.532
28891 303873 7 -46.5651 373.876 238.378
28891 304009 6 -13.8339 342.516 316.616
28891 241724 26 -13.0234 409.388 330.023
28891 308827 5 115.046 190.84 94.3763
28891 308883 1 -248.283 376.219 298.747
28891 308907 22 10.5964 379.605 214.202
28891 308931 3 -119.535 98.9219 264.559
28891 308979 1 -58.1321 62.2211 202.77
28891 348250 0 -92.0418 42.9271 258.496
28891 348274 2 -224.578 407.033 172.346
28891 348322 7 -135.498 92.6125 346.41
28891 20364 5 -66.7295 335.692 350.595
28891 20444 9 -23.6796 325.224 348.931
